VEHICLE_YEAR_MANUF,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_TYPE_DESC,ACCIDENT_NO,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS
2024.0,TIPPER,VOLVO,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,1,6.0,6.0,2.0,10160.0,1.0
1971.0,P MVR,KENWTH,Prime Mover Only,1,6.0,6.0,2.0,8750.0,1.0
1972.0,TANKER,MERC B,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,3.0,10800.0,1.0
1974.0,CYCLE,HONDA,Motor Cycle,1,10.0,6.0,3.0,7710.0,1.0
1974.0,P MVR,R F W,Prime Mover - Single Trailer,1,12.0,8.0,2.0,8920.0,1.0
1976.0,TIPPER,KENWTH,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,2.0,10100.0,1.0
1976.0,TRAY,INTERN,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,1,6.0,8.0,3.0,8990.0,1.0
1977.0,TIPPER,FORD,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,8.0,2.0,2740.0,1.0
1977.0,TIPPER,KENWTH,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,2.0,9960.0,1.0
1978.0,P MVR,KENWTH,Prime Mover - Single Trailer,1,6.0,8.0,2.0,8340.0,1.0
1978.0,TIPPER,FORD,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,8.0,2.0,8670.0,1.0
1978.0,TIPPER,INTERN,Heavy Vehicle (Rigid) > 4.5 Tonnes,2,6.0,5.0,2.0,9400.0,1.0
1978.0,TIPPER,KENWTH,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,5.0,2.0,10240.0,1.0
1978.0,TRAY,VOLVO,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,2.0,9370.0,1.0
1979.0,P MVR,ATKINS,Prime Mover - Single Trailer,1,6.0,8.0,2.0,8380.0,1.0
1979.0,P MVR,KENWTH,Prime Mover - Single Trailer,2,6.0,8.0,2.0,11335.0,1.0
1979.0,S BULK,KENWTH,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,8.0,6.0,2.0,10660.0,1.0
1979.0,TIPPER,ATKINS,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,2.0,10110.0,1.0
1979.0,TIPPER,INTERN,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,8.0,3.0,9115.0,1.0
1979.0,TIPPER,VOLVO,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,4.0,2.0,10380.0,1.0
2022.0,P MVR,SCANIA,Prime Mover B-Double,1,6.0,8.0,2.0,9760.0,1.0
2022.0,P MVR,U D,Prime Mover - Single Trailer,1,6.0,6.0,2.0,8420.0,1.0
2022.0,P MVR,VOLVO,Prime Mover - Single Trailer,6,6.0,6.0,2.0,9264.166666666666,1.0
2022.0,P MVR,VOLVO,Prime Mover B-Double,2,8.0,6.0,2.0,9020.0,1.0
2022.0,P MVR,VOLVO,Prime Mover B-Triple,1,6.0,6.0,2.0,9920.0,1.0
2022.0,P MVR,VOLVO,Prime Mover Only,1,6.0,6.0,2.0,9120.0,1.0
2022.0,SKIP C,U D,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,8.0,6.0,2.0,12800.0,1.0
2022.0,ST TRK,ISUZU,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,2,6.0,5.0,3.0,7185.0,1.0
2022.0,P MVR,KENWTH,Prime Mover B-Double,1,6.0,6.0,2.0,11840.0,1.0
2022.0,P MVR,KENWTH,Prime Mover B-Triple,1,6.0,6.0,2.0,9200.0,1.0
2022.0,P MVR,KENWTH,Prime Mover Only,5,6.0,6.0,2.0,10322.0,1.0
2022.0,P MVR,MACK,Prime Mover - Single Trailer,1,6.0,6.0,2.0,11020.0,1.0
2022.0,P MVR,MERC B,Prime Mover Only,2,6.0,6.0,2.0,9690.0,0.5
2022.0,P MVR,MERCED,Prime Mover - Single Trailer,1,10.0,6.0,2.0,9680.0,1.0
2022.0,P MVR,MERCED,Prime Mover B-Double,1,10.0,6.0,2.0,9280.0,1.0
2022.0,P MVR,SCANIA,Prime Mover - Single Trailer,3,6.0,7.333333333333333,2.0,9280.0,1.3333333333333333
2022.0,CONVRT,HINO,Prime Mover Only,1,6.0,6.0,3.0,10100.0,1.0
2022.0,G UNIT,D EAGL,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,2.0,13660.0,1.0
2022.0,G UNIT,VOLVO,Heavy Vehicle (Rigid) > 4.5 Tonnes,2,6.0,6.0,2.0,12800.0,1.0
2022.0,P MVR,DAF,Prime Mover - Single Trailer,4,6.0,6.0,2.0,9100.0,1.0
2022.0,P MVR,DAF,Prime Mover Only,1,6.0,6.0,2.0,9400.0,1.0
2022.0,P MVR,F LINE,Prime Mover - Single Trailer,1,6.0,6.0,2.0,9460.0,1.0
2022.0,P MVR,ISUZU,Prime Mover Only,2,6.0,6.0,3.0,9465.0,1.0
2022.0,P MVR,KENWTH,Prime Mover - Single Trailer,6,6.0,6.0,2.0,9963.333333333334,1.0
2021.0,TIPPER,SCANIA,Heavy Vehicle (Rigid) > 4.5 Tonnes,2,7.0,7.0,2.0,12460.0,1.0
2021.0,TIPPER,SCANIA,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,2,6.0,7.0,2.0,10880.0,1.0
2021.0,TIPPER,SCANIA,Prime Mover - Single Trailer,1,6.0,6.0,2.0,10120.0,1.0
2021.0,TIPPER,VOLVO,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,2.0,10160.0,1.0
2021.0,VAN,FUSO,Heavy Vehicle (Rigid) > 4.5 Tonnes,2,5.0,6.0,2.5,9450.0,1.5
2021.0,VAN,NISSAN,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,4.0,3.0,9980.0,1.0
2022.0,B BIN,ISUZU,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,3.0,9470.0,1.0
2022.0,C MIX,MACK,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,10.0,6.0,2.0,12620.0,1.0
1988.0,P MVR,MACK,Prime Mover B-Double,1,6.0,8.0,2.0,11020.0,1.0
1988.0,P MVR,MERC B,Prime Mover Only,1,6.0,8.0,2.0,9100.0,1.0
1988.0,P MVR,VOLVO,Prime Mover - Single Trailer,1,6.0,6.0,2.0,8600.0,1.0
1988.0,P MVR,W STAR,Prime Mover - Single Trailer,1,6.0,6.0,2.0,9500.0,1.0
1988.0,TIPPER,INTERN,Heavy Vehicle (Rigid) > 4.5 Tonnes,3,6.0,6.0,2.0,11590.0,1.0
1988.0,TIPPER,KENWTH,Heavy Vehicle (Rigid) > 4.5 Tonnes,2,6.0,5.5,2.0,12770.0,1.0
1988.0,TIPPER,MACK,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,2.0,9410.0,1.0
1988.0,TIPPER,MERC B,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,8.0,2.0,9960.0,1.0
1987.0,TIPPER,KENWTH,Prime Mover - Single Trailer,1,6.0,6.0,2.0,13740.0,1.0
1987.0,TIPPER,MERC B,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,8.0,2.0,1176.0,1.0
1987.0,TIPPER,VOLVO,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,2.0,10600.0,1.0
1987.0,TRAY,ISUZU,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,1,6.0,6.0,3.0,9320.0,1.0
1987.0,TRAY,MERC B,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,8.0,2.0,9100.0,1.0
1988.0,P MVR,INTERN,Prime Mover - Single Trailer,3,6.0,6.0,2.0,8433.333333333334,1.3333333333333333
1988.0,P MVR,KENWTH,Prime Mover - Single Trailer,4,7.0,6.0,2.0,10330.0,1.0
1988.0,P MVR,KENWTH,Prime Mover Only,3,6.0,6.0,2.0,10466.666666666666,1.0
1987.0,P MVR,KENWTH,Prime Mover - Single Trailer,2,6.0,6.0,2.0,14200.0,1.0
1987.0,P MVR,MACK,Prime Mover - Single Trailer,1,6.0,6.0,2.0,7630.0,1.0
1987.0,P MVR,VOLVO,Prime Mover - Single Trailer,1,6.0,6.0,2.0,13200.0,1.0
1987.0,SKIP C,INTERN,Heavy Vehicle (Rigid) > 4.5 Tonnes,2,7.0,6.0,2.0,12190.0,1.0
1987.0,T SDS,MERC B,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,2.0,5240.0,1.0
1987.0,T TRK,KENWTH,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,2.0,16560.0,2.0
1987.0,TIPPER,INTERN,Heavy Vehicle (Rigid) > 4.5 Tonnes,2,6.0,7.0,2.5,8690.0,1.0
1987.0,TIPPER,KENWTH,Heavy Vehicle (Rigid) > 4.5 Tonnes,2,6.0,6.0,2.0,10530.0,1.0
1986.0,TIPPER,FORD,Plant machinery and Agricultural equipment,1,6.0,8.0,3.0,8200.0,1.0
1986.0,TIPPER,MERC B,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,8.0,2.0,10300.0,1.0
1986.0,TIPPER,SCANIA,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,1,6.0,6.0,2.0,9380.0,1.0
1986.0,TIPPER,SCANIA,Prime Mover - Single Trailer,1,6.0,6.0,2.0,10200.0,1.0
1986.0,TRAY,SCANIA,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,1,6.0,6.0,2.0,7500.0,1.0
1987.0,C CHAS,KENWTH,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,2.0,11380.0,3.0
1987.0,CARVN,MAZDA,Other Vehicle,1,8.0,4.0,2.0,2880.0,0.0
1987.0,P MVR,FORD,Prime Mover - Single Trailer,1,6.0,6.0,2.0,9260.0,1.0
1989.0,TIPPER,VOLVO,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,2.0,10280.0,0.0
1989.0,TIPPER,VOLVO,Prime Mover Only,1,6.0,6.0,2.0,8310.0,1.0
1989.0,TRAY,FORD,Heavy Vehicle (Rigid) > 4.5 Tonnes,2,6.0,6.0,2.0,9880.0,1.5
1989.0,TRAY,HINO,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,1,6.0,6.0,3.0,8290.0,2.0
1989.0,VAN,ISUZU,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,3.0,8600.0,2.0
1989.0,VAN,ISUZU,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,1,6.0,6.0,3.0,8560.0,2.0
1989.0,VAN,SCANIA,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,1,6.0,6.0,2.0,8840.0,1.0
1990.0,CONT-C,SCANIA,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,2.0,12900.0,1.0
1989.0,SEDAN,CHEV,Car,1,6.0,8.0,5.0,1650.0,1.0
1989.0,SKIP C,INTERN,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,8.0,6.0,2.0,10930.0,1.0
1989.0,TIPPER,FORD,Heavy Vehicle (Rigid) > 4.5 Tonnes,2,6.0,6.0,3.5,10100.0,1.0
1989.0,TIPPER,KENWTH,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,2.0,1106.0,1.0
1989.0,TIPPER,KENWTH,Prime Mover - Single Trailer,1,6.0,6.0,2.0,9960.0,1.0
1989.0,TIPPER,MACK,Heavy Vehicle (Rigid) > 4.5 Tonnes,2,6.0,6.0,2.0,9235.0,1.0
1989.0,TIPPER,MERC B,Heavy Vehicle (Rigid) > 4.5 Tonnes,2,6.0,7.0,2.5,10560.0,1.0
1989.0,TIPPER,SCANIA,Heavy Vehicle (Rigid) > 4.5 Tonnes,1,6.0,6.0,2.0,9400.0,1.0
