VEHICLE_YEAR_MANUF,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_TYPE_DESC,ACCIDENT_NO,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS
1969,UTIL,TOYOTA,Utility,1,4,6,2,1300,1
1970,COUPE,DODGE,Car,1,4,8,6,1980,1
1970,RDSTR,M G,Car,1,4,4,2,950,2
1970,S WAG,HOLDEN,Station Wagon,1,4,8,5,1500,4
1970,S WAG,TOYOTA,Station Wagon,1,4,6,6,1700,1
1970,SED,FORD,Car,1,4,8,6,1300,1
1974,SEDAN,VOLKS,Car,1,4,4,4,800,1
1974,TRAY,HOLDEN,Utility,1,4,8,3,1400,1
1974,TRAY,TOYOTA,Utility,1,4,6,3,1800,1
1974,UTIL,DODGE,Utility,1,4,6,3,1350,2
,,,,,,,,1594.654009,1.299751128
