VEHICLE_YEAR_MANUF,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_TYPE_DESC,ACCIDENT_NO,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS
1982.0,BUS,M A N,Bus/Coach,1,4.0,6.0,41.0,9450.0,2.0
1984.0,BUS,LEY,Bus/Coach,1,4.0,6.0,42.0,9630.0,4.0
1985.0,BUS,VOLVO,Bus/Coach,1,4.0,6.0,49.0,9155.0,1.0
1987.0,BUS,AUSTRL,Bus/Coach,1,6.0,6.0,53.0,13230.0,1.0
1987.0,BUS,MERC B,Bus/Coach,1,6.0,8.0,49.0,12450.0,1.0
1987.0,BUS,VOLVO,Bus/Coach,2,4.0,6.0,41.0,9095.0,1.5
1988.0,BUS,M A N,Bus/Coach,1,4.0,6.0,41.0,10160.0,2.0
1988.0,BUS,MERC B,Bus/Coach,1,4.0,6.0,44.0,9370.0,5.0
1988.0,BUS,VOLVO,Bus/Coach,3,4.0,6.0,45.0,9253.333333333334,1.0
1990.0,BUS,MERC B,Bus/Coach,1,6.0,8.0,49.0,13400.0,1.0
1990.0,BUS,VOLVO,Bus/Coach,1,4.0,6.0,43.0,9650.0,9.0
1991.0,BUS,MERC B,Bus/Coach,1,4.0,6.0,50.0,8840.0,6.0
1991.0,BUS,VOLVO,Bus/Coach,1,4.0,6.0,48.0,10920.0,1.0
1992.0,BUS,DENING,Bus/Coach,1,6.0,6.0,47.0,13540.0,1.0
1992.0,BUS,MERC B,Bus/Coach,1,4.0,6.0,42.0,9960.0,1.0
1992.0,BUS,SCANIA,Bus/Coach,1,4.0,6.0,49.0,11560.0,1.0
1992.0,BUS,VOLVO,Bus/Coach,1,4.0,6.0,42.0,9580.0,1.0
1993.0,BUS,HINO,Bus/Coach,1,4.0,6.0,50.0,9220.0,30.0
1993.0,BUS,MERC B,Bus/Coach,1,4.0,6.0,58.0,9180.0,1.0
1993.0,BUS,VOLVO,Bus/Coach,1,4.0,6.0,42.0,9440.0,1.0
1994.0,BUS,M A N,Bus/Coach,2,5.0,6.0,49.5,12135.0,11.5
1994.0,BUS,MERC B,Bus/Coach,2,5.0,7.0,54.0,11660.0,1.5
1994.0,BUS,SCANIA,Bus/Coach,1,4.0,6.0,40.0,9810.0,1.0
1994.0,BUS,VOLVO,Bus/Coach,1,4.0,6.0,44.0,10330.0,1.0
1995.0,BUS,DENING,Bus/Coach,1,6.0,6.0,49.0,14420.0,1.0
1995.0,BUS,M A N,Bus/Coach,5,4.0,6.0,47.4,9354.0,6.2
1995.0,BUS,MERC B,Bus/Coach,4,4.5,6.5,54.0,10325.0,1.25
1995.0,BUS,SCANIA,Bus/Coach,2,5.0,6.0,48.0,10850.0,0.5
1995.0,BUS,VOLVO,Bus/Coach,4,4.0,6.0,45.5,10062.5,1.25
1996.0,BUS,HINO,Bus/Coach,1,4.0,6.0,57.0,8340.0,1.0
1996.0,BUS,MERC B,Bus/Coach,1,4.0,6.0,50.0,8880.0,1.0
1996.0,BUS,SCANIA,Bus/Coach,3,4.666666666666667,6.0,51.0,11803.333333333334,11.333333333333334
1996.0,BUS,VOLVO,Bus/Coach,1,4.0,6.0,44.0,10230.0,1.0
1997.0,BUS,M A N,Bus/Coach,1,4.0,6.0,35.0,9100.0,6.0
1997.0,BUS,MERC B,Bus/Coach,3,4.0,6.0,48.333333333333336,10553.333333333334,1.0
1997.0,BUS,SCANIA,Bus/Coach,1,6.0,6.0,49.0,14380.0,1.0
1997.0,BUS,VOLVO,Bus/Coach,2,4.0,6.0,44.0,10410.0,1.0
1998.0,BUS,DENNIS,Bus/Coach,1,4.0,6.0,37.0,7670.0,1.0
1998.0,BUS,HINO,Bus/Coach,2,4.0,6.0,58.0,9820.0,1.0
1998.0,BUS,MERC B,Bus/Coach,11,4.181818181818182,6.0,49.18181818181818,10110.0,8.363636363636363
1998.0,BUS,SCANIA,Bus/Coach,2,5.0,6.0,49.5,12640.0,4.0
1998.0,BUS,VOLVO,Bus/Coach,1,4.0,6.0,44.0,11000.0,1.0
