VEHICLE_YEAR_MANUF,VEHICLE_BODY_STYLE,VEHICLE_MAKE,ACCIDENT_NO,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS
2024.0,WAGON,TOYOTA,8,4.0,4.0,5.5,1690.0,1.25
1961.0,SEDAN,CHEV,1,4.0,8.0,6.0,1650.0,1.0
1962.0,SEDAN,CHRYS,2,4.0,6.0,5.5,1225.0,1.5
1962.0,SEDAN,HOLDEN,2,4.0,6.0,6.0,1125.0,1.5
1962.0,UTIL,HOLDEN,1,4.0,6.0,2.0,1050.0,1.0
1963.0,COUPE,FORD,1,4.0,8.0,4.0,1600.0,1.0
1963.0,RDSTR,MERC B,1,4.0,4.0,2.0,1150.0,1.0
1963.0,S WAG,FORD,1,4.0,6.0,6.0,1200.0,1.0
1963.0,SEDAN,FORD,1,4.0,6.0,6.0,1500.0,1.0
2023.0,WAGON,R ROV,1,4.0,4.0,5.0,1827.0,5.0
